V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;ND;CE
2,5455;1,8462;2,8333;3,2000;2,5000;2,8000;2,5556;2,0000;2,4444;1,5556;2,6667;3,1111;2,7143;2,0909;1,0000;2,3417;Red de agua de Portoviejo
1,8182;1,4615;2,3333;2,6000;2,3333;2,0000;2,1111;1,7500;1,7778;1,2222;2,3333;2,7778;2,4286;1,7273;1,0000;1,9250;Red de agua de Portoviejo
2,5455;2,0000;2,5000;3,0000;2,3333;3,0000;2,6667;2,3750;2,7778;1,6667;2,8333;3,3333;2,7143;2,1818;1,0000;2,4333;Red de agua de Portoviejo
2,5455;2,0000;2,6667;3,2000;2,5000;2,6000;2,1111;1,6250;1,8889;1,2222;2,3333;2,7778;2,4286;1,7273;1,0000;2,1250;Red de agua de Portoviejo
2,0000;1,7692;2,5000;3,2000;2,5000;3,0000;2,2222;2,2500;2,3333;1,2222;2,5000;3,0000;2,7143;1,8182;1,0000;2,1917;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6000;2,8333;3,4000;2,8889;3,5000;3,2222;3,3333;2,5000;2,2222;1,2857;1,0000;1,0000;2,7500;Red de agua de Portoviejo
2,0909;1,8462;1,0000;2,8000;1,5000;1,0000;1,1111;1,3750;2,1111;1,0000;1,0000;2,1111;1,1429;2,0000;2,1667;1,6500;Red de agua de Portoviejo
4,2727;4,0000;3,6667;4,4000;3,8333;3,6000;3,6667;3,5000;3,5556;3,7778;3,6667;3,7778;3,5714;3,3636;3,3333;3,7417;Red de agua de Portoviejo
1,9091;2,5385;2,5000;2,0000;2,5000;2,4000;1,8889;2,2500;2,0000;2,0000;2,0000;2,1111;2,7143;2,2727;2,8333;2,2417;Cadena de cacao de la amazonia ecuatoriana
3,7273;3,6923;3,6667;3,6000;3,5000;3,8000;3,8889;4,5000;3,8889;4,2222;3,5000;3,8889;3,5714;3,1818;4,0000;3,7750;Cadena de cacao de la amazonia ecuatoriana
3,0000;2,0769;1,0000;3,0000;1,1667;2,2000;3,1111;3,7500;2,0000;2,0000;2,3333;2,5556;2,4286;2,1818;2,0000;2,3583;Cadena de cacao de la amazonia ecuatoriana
3,6364;3,3846;2,0000;3,0000;1,6667;2,2000;3,6667;5,0000;2,3333;2,1111;3,3333;3,7778;3,1429;3,1818;3,0000;3,1167;Cadena de cacao de la amazonia ecuatoriana
2,0000;2,0000;1,1667;1,0000;1,6667;1,2000;2,0000;1,0000;1,0000;1,0000;1,3333;1,7778;1,0000;1,2727;1,1667;1,4333;Cadena de cacao de la amazonia ecuatoriana
4,7273;4,3846;5,0000;4,8000;4,6667;4,8000;4,0000;4,8750;4,6667;4,5556;4,3333;4,5556;4,8571;4,5455;4,0000;4,5667;Cadena de cacao de la amazonia ecuatoriana
3,4545;4,0769;3,8333;4,0000;4,0000;4,4000;4,1111;4,0000;4,0000;3,8889;4,0000;4,1111;3,1429;1,0000;1,0000;3,5000;Cadena de cacao de la amazonia ecuatoriana
4,2727;4,1538;4,8333;4,4000;4,5000;4,4000;4,0000;4,3750;4,1111;4,2222;4,5000;3,8889;3,8571;3,7273;5,0000;4,2250;Cadena de cacao de la amazonia ecuatoriana
2,0000;1,0769;2,1667;2,0000;2,0000;2,4000;2,0000;2,0000;1,3333;1,3333;2,0000;1,6667;2,7143;1,9091;1,1667;1,7917;Cadena de cacao de la amazonia ecuatoriana
2,0909;2,1538;2,1667;2,0000;2,1667;1,6000;1,3333;2,1250;1,2222;1,1111;1,5000;1,4444;2,0000;2,0909;1,0000;1,7500;Cadena de leche de Matanzas
3,4545;4,5385;4,8333;4,6000;4,8333;4,0000;3,6667;2,5000;1,6667;2,6667;4,1667;4,3333;4,0000;4,3636;2,0000;3,6833;Cadena de leche de Matanzas
1,0000;2,6923;2,0000;1,0000;4,3333;2,6000;1,2222;2,1250;1,6667;1,7778;1,6667;2,4444;3,0000;2,1818;1,0000;2,0333;Cadena de leche de Matanzas
1,2727;1,3846;1,5000;1,6000;1,0000;1,4000;1,2222;1,1250;1,1111;1,2222;1,6667;1,7778;1,4286;1,5455;1,0000;1,3500;Cadena de leche de Matanzas
2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;2,0000;Cadena de leche de Matanzas
1,1818;1,5385;1,5000;1,6000;1,5000;1,4000;1,4444;1,1250;1,2222;1,1111;1,1667;1,4444;1,7143;1,3636;1,0000;1,3500;Cadena de leche de Matanzas
3,0909;2,6923;3,1667;2,4000;2,8333;3,4000;3,1111;2,7500;2,6667;2,5556;2,8333;3,0000;3,2857;2,8182;1,3333;2,8083;Cadena de leche de Matanzas
1,1818;1,5385;1,6667;1,8000;1,6667;1,4000;1,1111;1,1250;1,2222;1,1111;1,1667;1,4444;1,4286;1,0000;1,0000;1,3000;Cadena de leche de Matanzas
1,1818;2,1538;2,6667;2,6000;1,5000;2,6000;1,4444;1,7500;1,8889;1,3333;2,0000;1,5556;2,2857;2,7273;2,0000;1,9333;Cadena de leche de la amazonía
1,0909;1,6154;2,0000;2,8000;1,3333;2,2000;1,4444;1,7500;1,6667;1,1111;2,1667;1,4444;2,0000;2,5455;1,6667;1,7333;Cadena de leche de la amazonía
1,2727;2,3846;2,3333;2,8000;1,5000;2,4000;1,4444;1,6250;1,3333;1,4444;1,8333;1,5556;2,0000;2,8182;1,8333;1,8833;Cadena de leche de la amazonía
1,2727;2,0000;2,1667;1,6000;1,3333;1,8000;1,3333;1,2500;1,1111;1,1111;1,5000;1,4444;2,0000;2,1818;1,3333;1,5630;Cadena de leche de la amazonía
1,3636;2,6154;1,3333;3,2000;1,3333;2,4000;1,6667;2,1250;1,6667;1,6667;2,0000;1,8889;2,5714;3,5455;2,0000;2,1083;Cadena de leche de la amazonía
1,0000;1,0000;1,5000;1,4000;1,1667;1,4000;1,0000;1,0000;1,0000;0,8889;1,0000;1,1111;1,2857;1,1818;1,1667;1,1083;Cadena de leche de la amazonía
3,9091;3,6923;4,0000;4,0000;4,0000;4,0000;3,8889;4,0000;3,5556;3,6667;4,0000;3,7778;3,8571;3,9091;3,3333;3,8250;Cadena de leche de la amazonía
1,0000;1,3846;1,0000;1,6000;1,1667;1,2000;1,3333;1,1250;1,0000;0,8889;1,1667;1,4444;1,4286;2,0909;1,3333;1,2917;Cadena de leche de la amazonía
1,2727;1,3077;1,5000;1,6000;1,0000;1,2000;1,2222;1,1250;1,2222;1,2222;1,5000;1,8889;1,2857;1,6364;1,0000;1,3417;Cadena de leche de la amazonía
1,0909;1,2308;1,0000;1,4000;1,1667;1,4000;1,1111;1,1250;1,0000;1,0000;1,0000;1,3333;1,4286;2,0909;1,1667;1,2521;Cadena de leche de la amazonía
1,0000;1,0769;1,0000;1,4000;1,1667;1,2000;1,2222;1,0000;1,0000;0,8889;1,0000;1,2222;1,4286;2,0000;1,8333;1,2288;Cadena de leche de la amazonía
4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;Cadena de leche de la amazonía
4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;Cadena de leche de la amazonía
4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;4,0000;Cadena de leche de la amazonía
1,0000;2,3333;2,6667;2,4000;1,3333;2,2000;1,0000;1,7500;2,2500;2,1250;2,1667;1,2222;2,4286;2,7273;1,8000;1,9310;Cadena de leche de la amazonía
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;Cadena de cacao de manabí
2,0000;1,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,5000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,3000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;1,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;2,0000;1,0000;1,3333;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,5000;1,0000;1,3000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,5000;2,0000;1,3667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;2,0000;1,0000;1,3333;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,5000;1,0000;1,3000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;2,0000;1,0000;1,3333;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,5000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;2,0000;1,0000;1,4333;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;2,0000;2,0000;1,4000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;2,0000;1,0000;1,3333;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,5000;1,0000;1,3000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;2,0000;1,0000;1,3333;Cadena de cacao de manabí
2,0000;1,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,5000;2,0000;1,3000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,5000;2,0000;1,3667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,3333;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,5000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,3000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,5000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,3000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,1333;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,5000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,3000;Cadena de cacao de manabí
2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,1333;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,3333;Cadena de cacao de manabí
2,0000;1,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2000;Cadena de cacao de manabí
2,0000;2,0000;1,0000;1,0000;1,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,5000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,3000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,1333;Cadena de cacao de manabí
1,0000;1,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,1333;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
2,0000;2,0000;1,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2000;Cadena de cacao de manabí
2,0000;2,0000;2,0000;2,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,2667;Cadena de cacao de manabí
